material_id,formula_pretty,formula_anonymous,chemsys,volume,density,nsites,elements,band_gap,formation_energy_per_atom,energy_above_hull,energy_per_atom,is_stable,theoretical,cbm,vbm,is_gap_direct,collected_at,crystal_system,space_group,point_group,query_type
mp-1244933,Si,,,1793.7649376717561,2.599954373928591,100,Si,0.0,0.34929145859999905,0.34929145859999905,,False,,,,,2025-11-15T11:56:45.750321,Triclinic,,1,elements_Si
mp-1120447,Si,,,163.06526777122875,2.288019789495501,8,Si,0.0,0.37250966749999903,0.37250966749999903,,False,,,,,2025-11-15T11:56:45.750451,Triclinic,,1,elements_Si
mp-1244971,Si,,,1921.0737732472721,2.427656376577443,100,Si,0.0030999999999990003,0.31675151759999903,0.31675151760000003,,False,,,,,2025-11-15T11:56:45.750525,Triclinic,,1,elements_Si
mp-1244990,Si,,,1750.9728471941326,2.6634947554856963,100,Si,0.0,0.36627406769999904,0.36627406770000004,,False,,,,,2025-11-15T11:56:45.750587,Triclinic,,1,elements_Si
mp-1245242,Si,,,1915.2205726555178,2.435075657647642,100,Si,0.0,0.31691021609999803,0.31691021610000003,,False,,,,,2025-11-15T11:56:45.750646,Triclinic,,1,elements_Si
mp-1245041,Si,,,1918.192245426189,2.431303226576872,100,Si,0.027599999999999004,0.310314400899999,0.310314400899999,,False,,,,,2025-11-15T11:56:45.750703,Triclinic,,1,elements_Si
mp-1403870,Si,,,174.1076902939462,2.142906835476681,8,Si,0.0,1.250752009999999,1.250752009999999,,False,,,,,2025-11-15T11:56:45.750761,Triclinic,,1,elements_Si
mp-644693,Si,,,174.10767849877462,2.142906980650944,8,Si,0.0,0.41511927999999904,0.41511927999999904,,False,,,,,2025-11-15T11:56:45.750824,Triclinic,,1,elements_Si
mp-676011,Si,,,159.13142937906494,2.344581212497035,8,Si,0.0,0.44703532249999905,0.44703532249999905,,False,,,,,2025-11-15T11:56:45.750882,Triclinic,,1,elements_Si
mp-988210,Si,,,174.1076902939462,2.142906835476681,8,Si,0.0,1.9596229937499992,1.9596229937499992,,False,,,,,2025-11-15T11:56:45.750966,Triclinic,,1,elements_Si
mp-1079297,Si,,,167.23079840226276,2.231027796342244,8,Si,0.2735,0.08220610625000001,0.08220610625000001,,False,,,,,2025-11-15T11:56:45.751025,Monoclinic,,2/m,elements_Si
mp-1204046,Si,,,2445.0737122623686,2.021832466823777,106,Si,0.15080000000000002,0.178885465377357,0.178885465377357,,False,,,,,2025-11-15T11:56:45.751080,Tetragonal,,4/mmm,elements_Si
mp-1056579,Si,,,13.978871817111228,3.336254210293773,1,Si,0.0,0.48407213000000104,0.48407213000000104,,False,,,,,2025-11-15T11:56:45.751134,Tetragonal,,4/mmm,elements_Si
mp-999200,Si,,,85.03542034009838,2.193771478683577,4,Si,0.439799999999999,0.11663319999999901,0.11663319999999901,,False,,,,,2025-11-15T11:56:45.751188,Tetragonal,,4/mmm,elements_Si
mp-92,Si,,,29.899999100890987,3.119536545645218,2,Si,0.0,0.28873980000000005,0.28873980000000005,,False,,,,,2025-11-15T11:56:45.751243,Tetragonal,,4/mmm,elements_Si
